exp_id,(match_percentage) for 1/30/2025,(match_percentage) for 2/18/2025,(match_percentage) for 2/5/2025,UniqueConcatenate(Protocol)
199463,79,45,75,Affinity_Wilmington
199464,90,69,93,Affinity_Wilmington
199465,87,65,85,Affinity_Wilmington
199472,91,90,96,Affinity_Wilmington
199487,78,64,92,Affinity_Wilmington
199493,79,40,88,Affinity_Wilmington
199496,87,82,94,Affinity_Wilmington
199497,87,82,96,Affinity_Wilmington
199499,91,87,92,Affinity_Wilmington
199513,92,71,80,Affinity_Wilmington
199523,88,76,94,Affinity_Wilmington
199530,91,82,96,Affinity_Wilmington
199531,86,77,96,Affinity_Wilmington
199535,91,84,96,Affinity_Wilmington
199538,86,77,96,Affinity_Wilmington
199556,83,65,91,Affinity_Wilmington
199558,86,72,92,Affinity_Wilmington
199563,87,74,94,Affinity_Wilmington
199570,77,58,95,Affinity_Wilmington
199571,81,65,91,Affinity_Wilmington
199572,80,63,82,Affinity_Wilmington
199573,73,54,91,Affinity_Wilmington
199579,50,43,73,Affinity_Wilmington
199581,76,65,62,Affinity_Wilmington
199582,76,65,62,Affinity_Wilmington
199583,71,50,91,Affinity_Wilmington
199594,85,73,96,Affinity_Wilmington
199607,88,76,78,Affinity_Wilmington
199608,88,77,94,Affinity_Wilmington
199684,63,37,95,Affinity_Wilmington
199732,83,77,96,Affinity_Wilmington
199771,83,70,96,Affinity_Wilmington
199772,84,70,94,Affinity_Wilmington
199788,80,63,96,Affinity_Wilmington
199815,75,49,94,Affinity_Wilmington
199816,84,75,96,Affinity_Wilmington
199817,93,25,86,Affinity_Wilmington
199823,78,57,95,Affinity_Wilmington
199825,88,82,95,Affinity_Wilmington
199862,76,66,96,Affinity_Wilmington
199869,86,71,96,Affinity_Wilmington
199871,87,79,96,Affinity_Wilmington
199872,87,78,92,Affinity_Wilmington
199873,85,75,96,Affinity_Wilmington
199882,90,87,96,Affinity_Wilmington
199885,88,80,95,Affinity_Wilmington
199886,88,81,83,Affinity_Wilmington
199887,83,69,95,Affinity_Wilmington
199896,87,78,95,Affinity_Wilmington
199897,76,59,92,Affinity_Wilmington
199899,75,62,54,Affinity_Wilmington
199902,74,59,94,Affinity_Wilmington
199904,75,68,91,Affinity_Wilmington
199905,90,55,80,Affinity_Wilmington
199909,83,68,74,Affinity_Wilmington
199917,90,87,96,Affinity_Wilmington
199932,85,77,96,Affinity_Wilmington
199933,84,79,95,Affinity_Wilmington
199934,84,79,96,Affinity_Wilmington
199937,85,77,96,Affinity_Wilmington
199966,83,71,94,Affinity_Wilmington
199967,87,81,96,Affinity_Wilmington
199969,84,75,96,Affinity_Wilmington
199986,79,65,96,Affinity_Wilmington
200036,79,63,94,Affinity_Wilmington
200060,82,68,78,Affinity_Wilmington
200090,82,77,96,Affinity_Wilmington
200093,85,80,96,Affinity_Wilmington
200096,91,88,96,Affinity_Wilmington
200097,83,75,95,Affinity_Wilmington
200105,81,73,94,Affinity_Wilmington
200151,86,77,85,Affinity_Wilmington
200153,84,61,96,Affinity_Wilmington
200156,91,88,96,Affinity_Wilmington
200158,88,86,96,Affinity_Wilmington
200177,88,84,83,Affinity_Wilmington
200208,80,76,94,Affinity_Wilmington
200215,90,80,88,Affinity_Wilmington
200216,88,79,94,Affinity_Wilmington
200217,84,80,96,Affinity_Wilmington
200287,79,74,96,Affinity_Wilmington
200288,83,71,91,Affinity_Wilmington
200289,76,64,96,Affinity_Wilmington
200290,85,81,96,Affinity_Wilmington
200292,71,57,72,Affinity_Wilmington
200293,88,80,94,Affinity_Wilmington
200294,86,79,96,Affinity_Wilmington
200295,89,77,96,Affinity_Wilmington
200315,82,72,96,Affinity_Wilmington
200316,75,56,93,Affinity_Wilmington
200322,85,71,87,Affinity_Wilmington
200323,91,83,95,Affinity_Wilmington
200324,92,89,96,Affinity_Wilmington
200325,92,90,96,Affinity_Wilmington
200340,85,72,93,Affinity_Wilmington
200341,85,71,94,Affinity_Wilmington
200368,84,69,88,Affinity_Wilmington
200457,71,57,93,Affinity_Wilmington
200459,84,76,88,Affinity_Wilmington
200460,79,68,90,Affinity_Wilmington
200461,84,67,94,Affinity_Wilmington
200465,90,87,96,Affinity_Wilmington
200482,90,87,96,Affinity_Wilmington
200486,90,87,96,Affinity_Wilmington
200512,83,73,96,Affinity_Wilmington
200519,80,69,96,Affinity_Wilmington
200526,80,69,96,Affinity_Wilmington
200527,81,72,96,Affinity_Wilmington
200557,83,75,96,Affinity_Wilmington
200559,70,69,96,Affinity_Wilmington
200584,77,57,93,Affinity_Wilmington
200588,78,63,96,Affinity_Wilmington
200604,89,85,96,Affinity_Wilmington
200634,88,77,89,Affinity_Wilmington
200640,79,60,96,Affinity_Wilmington
200673,87,62,80,Affinity_Wilmington
200675,82,75,96,Affinity_Wilmington
200677,79,69,95,Affinity_Wilmington
200678,73,49,69,Affinity_Wilmington
200680,90,87,96,Affinity_Wilmington
200681,71,57,91,Affinity_Wilmington
200684,73,46,83,Affinity_Wilmington
200714,90,77,96,Affinity_Wilmington
200717,80,62,95,Affinity_Wilmington
200719,89,76,96,Affinity_Wilmington
200721,90,75,96,Affinity_Wilmington
200747,80,55,96,Affinity_Wilmington
200751,80,75,96,Affinity_Wilmington
200768,75,64,96,Affinity_Wilmington
200793,82,69,96,Affinity_Wilmington
200808,91,88,96,Affinity_Wilmington
200820,87,83,94,Affinity_Wilmington
200853,80,75,94,Affinity_Wilmington
200855,85,72,79,Affinity_Wilmington
200875,86,80,92,Affinity_Wilmington
200915,73,58,94,Affinity_Wilmington
200916,74,54,90,Affinity_Wilmington
200917,73,58,89,Affinity_Wilmington
200918,72,59,93,Affinity_Wilmington
200919,73,55,75,Affinity_Wilmington
200921,64,51,91,Affinity_Wilmington
200924,83,79,95,Affinity_Wilmington
200927,83,75,89,Affinity_Wilmington
200928,73,62,94,Affinity_Wilmington
200948,82,70,95,Affinity_Wilmington
200961,83,60,95,Affinity_Wilmington
200963,83,62,95,Affinity_Wilmington
200995,93,82,95,Affinity_Wilmington
200996,83,72,95,Affinity_Wilmington
200997,88,81,95,Affinity_Wilmington
200998,90,87,96,Affinity_Wilmington
201000,70,55,94,Affinity_Wilmington
201012,88,73,96,Affinity_Wilmington
201013,75,57,93,Affinity_Wilmington
201014,76,58,93,Affinity_Wilmington
201024,85,79,94,Affinity_Wilmington
201027,81,59,94,Affinity_Wilmington
201034,80,76,91,Affinity_Wilmington
201036,89,83,96,Affinity_Wilmington
201069,88,72,96,Affinity_Wilmington
201073,90,86,96,Affinity_Wilmington
201137,67,44,75,Affinity_Wilmington
201140,85,75,87,Affinity_Wilmington
201148,84,37,63,Affinity_Wilmington
201150,81,66,90,Affinity_Wilmington
201161,83,72,95,Affinity_Wilmington
201175,73,60,92,Affinity_Wilmington
201179,72,58,49,Affinity_Wilmington
201180,83,77,96,Affinity_Wilmington
201185,84,69,92,Affinity_Wilmington
201260,88,80,86,Affinity_Wilmington
201277,92,90,96,Affinity_Wilmington
201356,92,80,70,Affinity_Wilmington
201357,83,63,96,Affinity_Wilmington
201358,86,79,96,Affinity_Wilmington
201363,81,73,94,Affinity_Wilmington
201393,82,73,96,Affinity_Wilmington
201400,80,69,96,Affinity_Wilmington
201410,82,73,96,Affinity_Wilmington
201417,90,79,96,Affinity_Wilmington
201420,90,82,96,Affinity_Wilmington
201422,88,82,96,Affinity_Wilmington
201425,89,85,96,Affinity_Wilmington
201426,84,59,95,Affinity_Wilmington
